title,brand,price,description,material,size,color,availability,url,img_url,scraped_at
signature milva pants 701 52704 80,Exit Signature,289950,"- Pants dengan casual look 
- Warna Brown 
- High rise 
- Material tidak transparan 
- Motif polos 
- Regular Fit 
- Bahan Kain Katun Poli Spandek yang ringan dan nyaman dipakai Lihat detail ukuran sebelum membeli 
- Warna pada gambar dapat sedikit berbeda dengan warna asli produk akibat pencahayaan saat proses photoshoot.

Size Spec 
S : (Lingkar pinggang 68cm x Panjang celana 97cm) 
M : (Lingkar pinggang 72cm x Panjang celana 98cm) 
L : (Lingkar pinggang 76cm x Panjang celana 99cm) 
XL : (Lingkar pinggang 80cmxPanjang celana 100cm) 
XXL : (Lingkar pinggang 84cm xPanjang celana 101cm)",Kain Katun Poli Spandek,XXL,Khaky,Buy Now,https://www.hijup.com/en/pants/140851-signature-milva-pants-701-52704-80,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765907/big_DSC09970.jpg,2024-12-27
ashley kulot celana denim bawah lebar,LEZAHRASIGNATURE,189450,Buat gaya harian jadi lebih stylish dengan Kulot Denim Ashley Celana  yang memiliki siluet wide-leg dan aplikasi karet pada bagian pinggang dilengkapi saku. Tersedia dalam tiga pilihan warna menarik.,- Kulot potongan lebar.,All Size /6007.IN2,Super Black,Buy Now,https://www.hijup.com/en/pants/76738-ashley-kulot-celana-denim-bawah-lebar,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/662425/big_KULOT_DENIM_ASHLEY_BLK.jpg,2024-12-27
,,475000,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=8,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/747103/smaller_BUTTONSCARVES_EVERYDAY_TAPIS_EMBOSSED_2_IN_PALE_OLIVE_1.jpg,2024-12-27
,,71680,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=1,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/737162/smaller_26657-334555.jpg,2024-12-27
signature milva pants 701 52704 80,Exit Signature,289950,"- Pants dengan casual look 
- Warna Brown 
- High rise 
- Material tidak transparan 
- Motif polos 
- Regular Fit 
- Bahan Kain Katun Poli Spandek yang ringan dan nyaman dipakai Lihat detail ukuran sebelum membeli - Warna pada gambar dapat sedikit berbeda dengan warna asli produk akibat pencahayaan saat proses photoshoot.

Size Spec 
S : (Lingkar pinggang 68cm x Panjang celana 97cm) 
M : (Lingkar pinggang 72cm x Panjang celana 98cm) 
L : (Lingkar pinggang 76cm x Panjang celana 99cm) 
XL : (Lingkar pinggang 80cmxPanjang celana 100cm) 
XXL : (Lingkar pinggang 84cm xPanjang celana 101cm)",Kain Katun Poli Spandek,XXL,Khaky,Buy Now,https://www.hijup.com/en/pants/140819-signature-milva-pants-701-52704-80,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765830/big_DSC09970.jpg,2024-12-27
meccanism estelle pants,Meccanism,269900,"Celana  panjang model high waist dengan pinggang karet
Terdapat saku pada bagian kanan dan kiri celana serta belahan dibagian bawah",Kaos Texture (lebih tebal),,HITAM,Buy Now,https://www.hijup.com/en/pants/93962-meccanism-estelle-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/505282/big_WhatsApp_Image_2022-03-24_at_15.47.27__13_.jpeg,2024-12-27
,,239000,,,,,Sold Out,https://www.hijup.com/en/categories/pants?product_search%5Bpage%5D=9,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/485507/smaller_v1-273-87486-154792-24311-46-216740.JPG,2024-12-27
signature nera pants 701 52689 15,Exit Signature,289950,"- Pants dengan casual look 
- Warna Cream muda 
- High rise 
- Motif garis 
- Regular Fit 
- Detail Belt Loops 
- Bahan Kain Rami yang ringan dan nyaman dipakai 
- Material tidak transparan Lihat detail ukuran sebelum membeli 
- Warna pada gambar dapat sedikit berbeda dengan warna asli produk akibat pencahayaan saat proses photoshoot.

Size Spec 
S : (Lingkar pinggang 68cm x Panjang celana 97cm) 
M : (Lingkar pinggang 72cm x Panjang celana 98cm) 
L : (Lingkar pinggang 76cm x Panjang celana 99cm) 
XL : (Lingkar pinggang 80cmxPanjang celana 100cm) 
XXL : (Lingkar pinggang 84cm xPanjang celana 101cm)",Kain Rami Yarn Dyed Dobby,XXL,Beige,Buy Now,https://www.hijup.com/en/pants/140836-signature-nera-pants-701-52689-15,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765852/big_DSC00149.jpg,2024-12-27
,,319920,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733977/smaller_2.jpg,2024-12-27
,,117180,,,,,Sold Out,https://www.hijup.com/id/categories/celana,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/611597/smaller_v1-586-110811-186575-25093-80-272990.jpg,2024-12-27
high waist scuba pants,HIJUP BASIC,117180,High Waist Scuba Pants dari HIJUP BASIC. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Scuba,L/XL,Dusty Pink,Belanja Sekarang,https://www.hijup.com/id/pants/110811-high-waist-scuba-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/610923/big_272992.jpg,2024-12-27
longpant elvina dark brown,LEZAHRASIGNATURE,269000,Longpant Elvina koleksi Zahra Signature.,- Celana panjang.,,Dark Brown,Buy Now,https://www.hijup.com/en/pants/94760-longpant-elvina-dark-brown,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/508608/big_HJP_DBRW_3.jpg,2024-12-27
,,349000,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=5,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/687620/smaller_HJP_NPNK.jpg,2024-12-27
,,475000,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=7,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/747035/smaller_BUTTONSCARVES_EVERYDAY_TAPIS_EMBOSSED_2_IN_BROWN_SUGAR_2.jpg,2024-12-27
,,117180,,,,,Sold Out,https://www.hijup.com/id/categories/celana?product_search%5Bpage%5D=1,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/611597/smaller_v1-586-110811-186575-25093-80-272990.jpg,2024-12-27
,,475000,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=8,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/747103/smaller_BUTTONSCARVES_EVERYDAY_TAPIS_EMBOSSED_2_IN_PALE_OLIVE_1.jpg,2024-12-27
,,298000,,,,,Sold Out,https://www.hijup.com/en/categories/pants?product_search%5Bpage%5D=8,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/736651/smaller_DSC05945.jpg,2024-12-27
,,117180,,,,,Sold Out,https://www.hijup.com/en/categories/pants?product_search%5Bpage%5D=1,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/611597/smaller_v1-586-110811-186575-25093-80-272990.jpg,2024-12-27
,,475000,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=7,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/747035/smaller_BUTTONSCARVES_EVERYDAY_TAPIS_EMBOSSED_2_IN_BROWN_SUGAR_2.jpg,2024-12-27
,,239000,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=6,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766584/smaller_IMG_3844.JPG,2024-12-27
,,269900,,,,,Sold Out,https://www.hijup.com/id/categories/celana?product_search%5Bpage%5D=10,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/508608/smaller_HJP_DBRW_3.jpg,2024-12-27
,,177500,,,,,Sold Out,https://www.hijup.com/id/categories/celana?product_search%5Bpage%5D=4,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/749641/smaller_26806-338800.jpg,2024-12-27
khanum knit pants oat,Benang Jarum,575000,Khanum Knit Pants - Oat dari Benang Jarum. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,"51% Viscose, 29% Polyester, 20% Nylon
",,Oat,Buy Now,https://www.hijup.com/en/pants/123071-khanum-knit-pants-oat,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/674809/big_Khanum_Knit_Pants_-_Oat.jpg,2024-12-27
khanum knit pants maroon,Benang Jarum,575000,Khanum Knit Pants - Maroon dari Benang Jarum. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,"51% Viscose, 29% Polyester, 20% Nylon
",,Maroon,Buy Now,https://www.hijup.com/en/pants/123070-khanum-knit-pants-maroon,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/674805/big_Khanum_Knit_Pants_-_Maroon.jpg,2024-12-27
,,149850,,,,,Sold Out,https://www.hijup.com/id/categories/celana?product_search%5Bpage%5D=3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/742479/smaller_HJP_WHT3.jpg,2024-12-27
,,149850,,,,,Sold Out,https://www.hijup.com/en/categories/pants?product_search%5Bpage%5D=7,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/547150/smaller_HJP_LGRY5.jpg,2024-12-27
,,239000,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=6,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766584/smaller_IMG_3844.JPG,2024-12-27
buy 1 get 1 free cotton jogger pants,LEZAHRASIGNATURE,299000,BUY 1 GET 1 FREE Cotton Jogger Pants dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Scuba Spandex,XL ,Black - Cappucino,Belanja Sekarang,https://www.hijup.com/id/pants/98884-buy-1-get-1-free-cotton-jogger-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765746/big_BUY_1_GET_1__1440_x_1800_piksel___8_.jpg,2024-12-27
,,23850,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=9,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/683452/smaller_Ciput_Rajut_Kupluk_Premium_Taupe_Shopee_for_HIJUP_Buttonscarves.png,2024-12-27
,,120000,,,,,Sold Out,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=4,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765681/smaller_13_NOVEMBER_2024_MYB_FG_RIDWAN__STUDIO_1_-29805.jpg,2024-12-27
buy 1 get 1 free sporty jogger pants,LEZAHRASIGNATURE,299000,BUY 1 GET 1 FREE Cotton Jogger Pants dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Etalase ini Mendapatkan 2 Pcs,All Size/2591.RO,Coklat - Navy,Belanja Sekarang,https://www.hijup.com/id/pants/140269-buy-1-get-1-free-sporty-jogger-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765704/big_BUY_1_GET_1__1440_x_1800_piksel___4_.jpg,2024-12-27
basic skirt legging,HIJUP ACTIVE,103950,Basic Skirt Legging dari HIJUP ACTIVE.,- Celana.,S/M,Mocca,Buy Now,https://www.hijup.com/en/pants/79144-basic-skirt-legging,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/430391/big_196946.JPG,2024-12-27
,,92220,,,,,Sold Out,https://www.hijup.com/id/categories/celana?product_search%5Bpage%5D=2,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/459457/smaller_210703.jpg,2024-12-27
buy 1 get 1 free kia pants official wear,LEZAHRASIGNATURE,349000,BUY 1 GET 1 FREE Azkia Pants  dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,"Etalase ini Mendapatkan 2 Pcs Produk Azkia Pants dengan harga khusus hanya Rp.199.500,- per pcs nya.",XL /066BYL,RANDOM,Belanja Sekarang,https://www.hijup.com/id/pants/140796-buy-1-get-1-free-kia-pants-official-wear,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766114/big_2.jpg,2024-12-27
,,179850,,,,,Sold Out,https://www.hijup.com/id/categories/celana?product_search%5Bpage%5D=5,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/499887/smaller_HJP_BEI_4.jpg,2024-12-27
alunicorn roco pants tawny,Alunicorn,165000,"Bermaterial Bobble yang lembut dan stretch. Cuttingan celana Cutbray dengan desain spesial terdapat garis belahan di bagian tengah celana yang bisa membuat kakimu terlihat lebih jenjang. Terdapat karet pinggang di bagian belakang pastinya nyaman dan mudah digunakan. Roco Pants memiliki warna-warna yang cocok digunakan kemanapun bisa untuk kerja atau hangout.

Materials

Bobble","Berat (dalam gram, max. 6000, 3-4 item Atasan berkisar 1 kg):",B (L-XL),Tawny,Belanja Sekarang,https://www.hijup.com/id/pants/131449-alunicorn-roco-pants-tawny,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/712112/big_Artboard_41.png,2024-12-27
pn 2500 levion pants,Club Solitaire,217500,PN 2500 Levion Pants dari Club Solitaire. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,raw denim,All Size,Navy,Belanja Sekarang,https://www.hijup.com/id/pants/137396-pn-2500-levion-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/749623/big_26806-338803-5.jpg,2024-12-27
alunicorn roco pants pearly white,Alunicorn,165000,"Bermaterial Bobble yang lembut dan stretch. Cuttingan celana Cutbray dengan desain spesial terdapat garis belahan di bagian tengah celana yang bisa membuat kakimu terlihat lebih jenjang. Terdapat karet pinggang di bagian belakang pastinya nyaman dan mudah digunakan. Roco Pants memiliki warna-warna yang cocok digunakan kemanapun bisa untuk kerja atau hangout.

Materials

Bobble","Berat (dalam gram, max. 6000, 3-4 item Atasan berkisar 1 kg):",A (S-M),Pearl White,Belanja Sekarang,https://www.hijup.com/id/pants/131448-alunicorn-roco-pants-pearly-white,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/712108/big_broken_wihte_1.png,2024-12-27
